query,positive,negative,positive_source,negative_source
Was it a project that focused on helping communities be more prepared for emergencies?,"December, 2016 ANNUAL PROGRESS REPORT 
 
ii | P a g e  
 
  
  
Project beneficiaries, Tharu communities, doing well with Fishery, 
Maadi, Chitwan 
December, 2016 ANNUAL PROGRESS REPORT 
 
iii | P a g e  
 
  
 PROJECT PROFILE 
About the Project Geographic coverage of the project 
Project Title: Comprehensive Disaster Risk 
Management Programme (CDRMP) 
 
Award ID :00061320","The project's effort towards making communities disaster resilient is continued. Over 17,000 families from 
Sindhu-khola sub-watershed of Sindhupalchowk and Riu-khola sub-watershed of Maadi Chitwan have been 
benefited through project activities. The outcomes of the project intervention since 2012/013 are visible -",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
How does the coverage area for this... project relate to its goal of reducing conflict and risk?,"Award ID :00061320 
 
Web link: www.np.undp.org/cdrmp/  
National level coverage (Yes/No): Yes 
Number of Regions covered: 5 
Number of Districts Covered: 55 
Number of Municipalities Covered: 37 
Number of VDCs Covered: 92 
Strategic Results 
UNDP Strategic Plan Outcome 5: Countries are able to reduce the likelihood of conflict and lower the risk of","UNDP : United Nations Development Programme 
UNISDR : United Nations' 
International Strategy for Disaster Reduction 
UNVs : United Nations Volunteers 
USD : United States Dollar (Currency) 
VDC : Village Development Committee 
WCDRR : World Conference on Disaster Risk Reduction 
 
  
December, 2016 ANNUAL PROGRESS REPORT 
 
ix | P a g e  
 
  
LIST OF TABLES 
  
 
LIST OF FIGURES",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Is there a way to prepare communities for the effects of really severe weather events?,"natural disasters, including from climate change 
UNDP Strategic Plan Output 5.2: Effective institutional, legislative and policy frameworks in place to 
enhance the implementation of disaster and climate risk management measures at national sublevels 
UNDAF Outcome 7:  
People living in areas vulnerable to climate change and disasters benefit from improved risk management","implement systems and policies to effectively manage disaster risks  and 
adapt to climate change 
Output 7.2: Urban populations are better able to prepare for and manage 
hazard and climate change adaptation risk 
Output 7.3: Vulnerable populations have increased knowledge about 
disaster risk management and capacity for climate change adaptation and 
mitigation of risks",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
How do local governments usually prepare for big natural disasters?,"and are more resilient to hazard-related shocks 
 
UNDAF/CPAP Outputs: 
7.1 Government officials at all levels have capacity to lead and implement systems and policies to effe ctively 
manage disaster risks 
7.2 Urban populations are better able to prepare for and manage hazard and climate change adaptation risk","mitigation of risks  
Output 7.4: National preparedness and emergency systems are able to 
effectively prepare for and respond to hazard-related disasters 
 
 
 5.1 Progress towards the UNDAF Outcome and CPAP Outputs  
 
The CDRMP outputs contribute to the four outputs of CPAP and ultimately to the CPAP Outcome",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Do you think certain groups of people are more protected from or better prepared to deal with natural disasters because of some kind of program or system?,"7.3 Vulnerable populations have increased knowledge about disaster risk management and capacity for 
climate change adaptation and mitigation of risks  
7.4 National preparedness and emergency systems are able to effectively prepare for and respond to 
hazard-related disaster 
Project Duration 
(day/month/year) 
Implementing Partner(s) Implementation 
Modality 
Start Date: 21/02/ 2011","implement systems and policies to effectively manage disaster risks  and 
adapt to climate change 
Output 7.2: Urban populations are better able to prepare for and manage 
hazard and climate change adaptation risk 
Output 7.3: Vulnerable populations have increased knowledge about 
disaster risk management and capacity for climate change adaptation and 
mitigation of risks",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
What was the main focus or goal of this partnership during that time period?,"Modality 
Start Date: 21/02/ 2011 
 
End Date:  
31/12/2015 (Original) 
31/12/2017(Extended) 
 
Primary Partner: Ministry of Home 
Affairs.  
Other partners include:  
Ministry of Federal Affairs and Local 
Development, Ministry of Urban 
Development,  
National Planning Commission, 
Ministry of Science, Technology and 
Environment, Ministry of Forests and 
Soil Conservation and","MoFSC : Ministry of Forests and Soil Conservation 
MoHA : Ministry of Home Affairs 
MoPE : Ministry of Population and Environment  
MoUD : Ministry of Urban Development 
MTC : Mobile Technological Clinics (Mobile Van Campaigns) 
NASC : Nepal Administrative Staff College 
NBC : National Building Codes 
NEA : Nepal Engineering Association 
December, 2016 ANNUAL PROGRESS REPORT 
 
viii | P a g e",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Do these organizations work together on disaster response efforts in some way?,"Soil Conservation and 
Ministry of Agriculture Development 
Kathmandu Valley Development 
Authority 
National Government Training 
Institutions:  
Nepal Administrative Staff College 
(NASC) 
Local Development Training Academy 
(LDTA) and 
Tribhuvan University-Central 
Department of Environmental 
Science (TU-CDES). 
Direct 
Implementation 
Modality (DIM) 
Project Budget (US$)","Agriculture and 
Cooperatives, Minist ry of 
Health and Population, 
Ministry of Forests and 
Soil Conservation and 
Ministry of Environment 
no 
allocation 
5% 4.85% Continues 
support to NPC 
for D/CRM 
mainstreaming 
in Development 
planning 
A regional 
workshop held 
in Biratnagar, 
National 
workshop hel d 
in Kathmandu. 
14th 3-year plan 
contributed 
through “Risk 
Informed",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Do you remember anything about a big disaster plan or how to respond to emergencies that got implemented around that time?,"December, 2016 ANNUAL PROGRESS REPORT 
 
v | P a g e  
 
  
TABLE OF CONTENT 
CONTENT PAGE NO 
Abbreviation vi 
List of Tables ix 
List of Figures (if any) ix 
1. EXECUTIVE SUMMARY 1 
2. BACKGROUND AND RATIONALE 4 
3. PROJECT SUMMARY AND OBJECTIVES 5 
4. PROGRAMMATIC REVISIONS 9 
5. NARRATIVES ON KEY RESULTS ACHIEVED IN 2016 10 
5.1 Progress towards the UNDAF Outcome and CPAP Outputs 10","5. NARRATIVE ON KEY RESULTS ACHIEVED IN 2016 
 
CDRMP contributes for Outcome 7 of the current UNDAF (2013-017). The table given below shows 
the linkage of UNDAF outcome and associated UNDAF output statements that the project contributes 
for.  The four outputs, as in the below table, of the CPAP have been contributed through 
implementation of CDRMP activities under various components.",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Do you guys have any systems in place to make sure communities are involved in making decisions about their own disaster preparedness and response?,"5.2 Progress on Project Outputs 14 
6. BUDGET AND EXPENDITURE 31 
7. CROSS CUTTING ISSUES 33 
7.1 Targeting and Voice/Participation of target groups 33 
7.2 Gender equality, Women’s empowerment and Social Inclusion 34 
7.3 Scaling up 34 
7.4 National Capacity Development  35 
7.5 Sustainability 35 
7.6 South- South and Triangular cooperation 35 
7.7 Partnerships 36","34 | P a g e  
 
  
the needs of local people. Community Based Organisations(CBOs) that project has been working with consist 
of 36% women, 10% Dalit and 43% Janajatis respectively. In community level capacity building events, about 
45% of participants have been  women. 
 
 
7.2 Gender Equality, Women’s Empowerment, and Social Inclusion",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
How do you track and assess the effectiveness of a disaster relief operation?,"7.7 Partnerships 36 
7.8 Promotion of Civic Engagement 37 
7.9 Expanding opportunities for youth 37 
7.10 Innovation 37 
7.11 Knowledge Management and Products 37 
7.12 Monitoring and Evaluation 38 
8. LESSON LEARNED 39 
9. IMPLEMENTATION ISSUES AND CHALLENGES 40 
10. A SPECIFIC STORY 40 
11. PRIORITIES FOR 2017 42 
12. ISSUES AND RISK LOGS 43 
13. PROGRESS AGAINST ANNUAL WORK PLAN 47","These partnerships have fostered the capacities of government institutions towards delivering technical 
services on D/CRM in long run. 
 
December, 2016 ANNUAL PROGRESS REPORT 
 
37 | P a g e  
 
  
7.8 Promotion of Civic Engagement 
Civic engagement has been promoted through project implementation at different levels. Local communities",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
