query,positive,negative,positive_source,negative_source
What kind of emergency plan does the government in Nepal have to deal with things like floods and other big dangers?,"National Disaster Response Framework
(NDRF)
The Government of Nepal
Ministry of Home Affairs
July 2013
I)
t,'I
.J
I
t
GOYERNMENT OFNEPAL
MINISTRY O ME AF'NAIRS
Ref No.:
?,*.Hu
""ltilfrHtino
Singh Durbar
lGthmandu, Nepal.
oate:Y-931?l:l9ll
Nepal is onc of the highest risk counties in terms of disasters. Different hazards sueh as flood,","national, regional, district and VDC/local level.
National Disaster Response Framework will come into effect immediately after the
approval of the Government of Nepal (Cabinet) as recommended by the Central Natural
Disaster Relief Committee.
National System for Disaster Response
Natural Calamity Relief Act 1982 and Local Self Governance Act 1999 arc the existine",113.pdf,113.pdf
Do they have special emergency plans in place for after a really big natural disaster?,"landslide, fiF, stormn earthquake, thunderbolts cause loss of lives and propaties, resrhing
devastating effect on the economy of the nation. The entire country fiom east to west lies in the
active seismic zone and has atready witressed several eairthquakes in the past. Following a mega
disaster, it is important to maintain law and order situation and to support thg affeted people on","Association, FNCCI, Telecommunications Authority, Nepal Engineering Association,
and concerned expert agencies.
The following agencies shall coordinate the disaster response activities as mentioned below:
Timeline Operational Activities Responsible Lead
Asencies
0-lhour
l. Give early information on earthquake National Seismological
Centre",113.pdf,113.pdf
"When an emergency is bigger than what the local government can handle, what happens?","time. The coordinstion with humaaitcian organizations is equdly important to srye livos and to
reduce sufferings. Government ofNepal endorsed National Disaster Response Frarnework (NDRF)
as a key guidelinc for disaster r€sponse. It plays a vital role to mobilise intemttional humanitarian
assistance in mega disaster, in case if &e govemment rcspmse is beyond its capaeity. In dre time","(NSDRM), 2066 aad helps to coordinae the cycle of Disaster Management. This framework will
certainly address &e deficiencies in Disaster Risk Managemeff in the past an4 define the role and
responsibility of all concemed Government, Non4ovsnme,lrt srd Intemafional Humanitarian
Agencies. This document will also help to coordinate the intemational support fiom the United",113.pdf,113.pdf
Doesn't the national framework for disaster response involve some kind of international coordination for help in emergency situations?,"of mega disaster, the CNDRC, an apex body, may recomrrend to the cabina for interncional
appeal for intemational humanitarie assistances and for the Search and Rescue,For€es.
It is my pleasre that the Nationat Disast€r Rcsponse Framework is in place th* firlfils the
objectives of Natural Calamity Relief Act 1982, National Stdegr for Disaster Risk Management","time. The coordinstion with humaaitcian organizations is equdly important to srye livos and to
reduce sufferings. Government ofNepal endorsed National Disaster Response Frarnework (NDRF)
as a key guidelinc for disaster r€sponse. It plays a vital role to mobilise intemttional humanitarian
assistance in mega disaster, in case if &e govemment rcspmse is beyond its capaeity. In dre time",113.pdf,113.pdf
Doesn't the new framework have something to do with making sure everyone involved in a big emergency knows what they're supposed to do and when?,"(NSDRM), 2066 aad helps to coordinae the cycle of Disaster Management. This framework will
certainly address &e deficiencies in Disaster Risk Managemeff in the past an4 define the role and
responsibility of all concemed Government, Non4ovsnme,lrt srd Intemafional Humanitarian
Agencies. This document will also help to coordinate the intemational support fiom the United","2. Objectives and Scope-- -------------- 3
3. National System for Disaster Response --------- 3
4. International Assistance for Disaster Response -------------- 4
5. National and International Assistance and Coordination Structure
6, Special Operation Arrangement for National Disaster Response--- -------------------- 7
7. National Framework for Disaster Response ------------- 8",113.pdf,113.pdf
Does this framework define how different groups will work together to respond to emergencies?,"Ndions, International Committee of Red Crcgs and Red Crcscent $CRC), Neighbouring and
Friendly Foc€ip Countries, Donot Agcnoies and Internationsl Non4o Hurnanitarian
Organizations. I believe that after implemantation of the NDRF, all concerned agenoies will have
clear responsibility and dury to perform, wen with stipulated time. This framework provides","procedural guidelines for the marugcm€nt of intamational spp€at and also frames tk Sectoral
Strategic Aclion Plans of those agencies. I expect those ageircies would com.e up with &c aetion
plan as stipulated inNDRF.
Finally, I would like to thank all Government age,ncies, UN agencies and UNOCHA in particular",113.pdf,113.pdf
What happens when different government agencies come together to respond to a disaster?,"procedural guidelines for the marugcm€nt of intamational spp€at and also frames tk Sectoral
Strategic Aclion Plans of those agencies. I expect those ageircies would com.e up with &c aetion
plan as stipulated inNDRF.
Finally, I would like to thank all Government age,ncies, UN agencies and UNOCHA in particular","Ndions, International Committee of Red Crcgs and Red Crcscent $CRC), Neighbouring and
Friendly Foc€ip Countries, Donot Agcnoies and Internationsl Non4o Hurnanitarian
Organizations. I believe that after implemantation of the NDRF, all concerned agenoies will have
clear responsibility and dury to perform, wen with stipulated time. This framework provides",113.pdf,113.pdf
What's the role of a group like the NDRF in dealing with emergencies?,"who actively supported preparing the NDRF. Also, I would like to thank dl colleagues of the
Ministry who have heavily contibuted for tbe preparation of this document. Thank you.
Navin Kumar Ghimire
Secretary","time. The coordinstion with humaaitcian organizations is equdly important to srye livos and to
reduce sufferings. Government ofNepal endorsed National Disaster Response Frarnework (NDRF)
as a key guidelinc for disaster r€sponse. It plays a vital role to mobilise intemttional humanitarian
assistance in mega disaster, in case if &e govemment rcspmse is beyond its capaeity. In dre time",113.pdf,113.pdf
"Isn't there a kind of team or organization that works together with emergency responders, like the police or military, during big disasters?","Abbreviations and Acronyms
ACC Association of Construction
Contractor
AOAN Airlines Operation Association of
Nepal
APF Armed Police Force
CAAN Civil Aviation Authority of Nepal
CBOs Community Based Organizations
CBS Central Bureau of Statistics
CCCM Camp Coordination Camp
Management Cluster
CMCC Civil Military Coordination Center
CNDRC Central Natural Disaster Relief
Committee","Statistics; National Seismological Centre; Waste Management Centre; National
Trauma Centre; Nepalese fu-yt Nepal Police; Armed Police Force; Fire Brigade
Office; Search and Rescue Team, RDRC/DDRC; DDCs; Local level Government
Offices; Civil Aviation Authority; Nepal Food Corporation; and other concerned
Ministries, Departments and Governmental and Non-Governmental Organization. UN",113.pdf,113.pdf
"Do they have a group that coordinates emergency responses for a specific area, like a neighborhood or a city?","CNDRC Central Natural Disaster Relief
Committee
DC Department of Custom
DDA Department of Drug Administration
DDRC District Disaster Relief Committee
DEOC District Emergency Operation Center
DHM Department of Hydrology and
Meteorology
DHS Department of Health Services
DI Department of lmmigration
DIG Deputy Inspector General ofPolice
DLS Department of Livestock Services","DLS Department of Livestock Services
DMG Department of Mines and Geology
DP-Net DisasterPreparednessNetwork
DR Department of Roads
DT Department of Transport
DUDBC Department of Urban Development
and Building Construction
DWD Department of Women Development
DWDO District Women Development Office
DWIDP Department of Water lnduced
Disaster Prevention
DWSS Department of Water Supply and
Sewerage",113.pdf,113.pdf
Do they have departments that deal with preventing or responding to natural hazards like floods or landslides?,"DLS Department of Livestock Services
DMG Department of Mines and Geology
DP-Net DisasterPreparednessNetwork
DR Department of Roads
DT Department of Transport
DUDBC Department of Urban Development
and Building Construction
DWD Department of Women Development
DWDO District Women Development Office
DWIDP Department of Water lnduced
Disaster Prevention
DWSS Department of Water Supply and
Sewerage","CNDRC Central Natural Disaster Relief
Committee
DC Department of Custom
DDA Department of Drug Administration
DDRC District Disaster Relief Committee
DEOC District Emergency Operation Center
DHM Department of Hydrology and
Meteorology
DHS Department of Health Services
DI Department of lmmigration
DIG Deputy Inspector General ofPolice
DLS Department of Livestock Services",113.pdf,113.pdf
